Date,Time,Day,Weather,Temperature,Vehicle_Count,Average_Speed,Congestion
2026-01-01,00:00,Thursday,Clear,5.8,447,56.4,Low
2026-01-01,01:00,Thursday,Cloudy,10.4,309,58.5,Low
2026-01-01,02:00,Thursday,Clear,8.2,261,49.6,Low
2026-01-01,03:00,Thursday,Clear,12.8,248,58.5,Low
2026-01-01,04:00,Thursday,Clear,11.6,100,57.1,Low
2026-01-01,05:00,Thursday,Clear,16.6,318,57.2,Low
2026-01-01,06:00,Thursday,Cloudy,16.8,522,55.7,Low
2026-01-01,07:00,Thursday,Clear,19.3,1397,42.9,Medium
2026-01-01,08:00,Thursday,Clear,22.5,1458,41.6,Medium
2026-01-01,09:00,Thursday,Clear,27.3,1200,48.6,Medium
2026-01-01,10:00,Thursday,Fog,27.1,932,47.7,Medium
2026-01-01,11:00,Thursday,Clear,24.5,930,53.9,Medium
2026-01-01,12:00,Thursday,Clear,25.7,1020,51.5,Medium
2026-01-01,13:00,Thursday,Cloudy,29.4,824,50.8,Medium
2026-01-01,14:00,Thursday,Rain,23.6,914,50.3,Medium
2026-01-01,15:00,Thursday,Clear,24.3,1121,52.9,Medium
2026-01-01,16:00,Thursday,Rain,20.9,738,55.5,Low
2026-01-01,17:00,Thursday,Clear,22.2,1794,46.8,High
2026-01-01,18:00,Thursday,Clear,17.2,1790,37.8,High
2026-01-01,19:00,Thursday,Clear,17.5,1767,43.4,High
2026-01-01,20:00,Thursday,Clear,11.4,1911,40.3,High
2026-01-01,21:00,Thursday,Clear,10.1,837,52.6,Medium
2026-01-01,22:00,Thursday,Rain,12.1,551,53.6,Low
2026-01-01,23:00,Thursday,Clear,9.7,641,49.2,Low
2026-01-02,00:00,Friday,Rain,2.7,351,55.3,Low
2026-01-02,01:00,Friday,Clear,7.8,375,57.5,Low
2026-01-02,02:00,Friday,Clear,7.5,610,53.8,Low
2026-01-02,03:00,Friday,Clear,7.6,409,63.3,Low
2026-01-02,04:00,Friday,Clear,14.0,361,54.7,Low
2026-01-02,05:00,Friday,Clear,14.6,571,56.5,Low
2026-01-02,06:00,Friday,Clear,16.4,607,58.1,Low
2026-01-02,07:00,Friday,Clear,23.4,1251,45.8,Medium
2026-01-02,08:00,Friday,Clear,26.4,1531,44.7,High
2026-01-02,09:00,Friday,Clear,24.3,1240,49.0,Medium
2026-01-02,10:00,Friday,Cloudy,27.9,925,49.6,Medium
2026-01-02,11:00,Friday,Clear,25.9,1122,45.1,Medium
2026-01-02,12:00,Friday,Rain,30.7,1130,47.7,Medium
2026-01-02,13:00,Friday,Rain,27.2,788,54.5,Low
2026-01-02,14:00,Friday,Clear,29.3,869,53.2,Medium
2026-01-02,15:00,Friday,Clear,27.5,1043,47.4,Medium
2026-01-02,16:00,Friday,Clear,23.3,817,55.0,Medium
2026-01-02,17:00,Friday,Clear,23.2,1653,45.8,High
2026-01-02,18:00,Friday,Clear,19.5,1990,41.4,High
2026-01-02,19:00,Friday,Clear,17.3,1763,40.1,High
2026-01-02,20:00,Friday,Clear,14.8,1764,46.0,High
2026-01-02,21:00,Friday,Clear,12.0,660,61.6,Low
2026-01-02,22:00,Friday,Clear,7.4,846,51.7,Medium
2026-01-02,23:00,Friday,Clear,8.1,666,55.5,Low
2026-01-03,00:00,Saturday,Clear,7.8,411,54.5,Low
2026-01-03,01:00,Saturday,Clear,9.9,233,60.2,Low
2026-01-03,02:00,Saturday,Clear,10.8,313,58.8,Low
2026-01-03,03:00,Saturday,Clear,14.5,308,53.5,Low
2026-01-03,04:00,Saturday,Rain,14.7,384,53.3,Low
2026-01-03,05:00,Saturday,Clear,18.2,377,57.8,Low
2026-01-03,06:00,Saturday,Rain,18.0,355,60.8,Low
2026-01-03,07:00,Saturday,Cloudy,20.6,1140,50.6,Medium
2026-01-03,08:00,Saturday,Rain,20.7,562,54.9,Low
2026-01-03,09:00,Saturday,Clear,23.4,1397,40.4,Medium
2026-01-03,10:00,Saturday,Clear,25.8,762,49.7,Low
2026-01-03,11:00,Saturday,Clear,27.0,642,55.6,Low
2026-01-03,12:00,Saturday,Cloudy,32.8,989,54.2,Medium
2026-01-03,13:00,Saturday,Fog,29.3,296,57.6,Low
2026-01-03,14:00,Saturday,Cloudy,25.8,462,53.1,Low
2026-01-03,15:00,Saturday,Clear,28.4,678,51.3,Low
2026-01-03,16:00,Saturday,Clear,24.9,939,51.7,Medium
2026-01-03,17:00,Saturday,Cloudy,23.9,1054,48.0,Medium
2026-01-03,18:00,Saturday,Clear,17.5,1630,43.6,High
2026-01-03,19:00,Saturday,Clear,13.5,1312,43.1,Medium
2026-01-03,20:00,Saturday,Clear,16.1,1548,44.1,High
2026-01-03,21:00,Saturday,Cloudy,10.0,673,53.3,Low
2026-01-03,22:00,Saturday,Cloudy,8.9,507,56.9,Low
2026-01-03,23:00,Saturday,Clear,8.6,762,48.7,Low
2026-01-04,00:00,Sunday,Clear,9.4,310,58.2,Low
2026-01-04,01:00,Sunday,Rain,8.1,267,55.5,Low
2026-01-04,02:00,Sunday,Clear,11.1,230,55.8,Low
2026-01-04,03:00,Sunday,Cloudy,10.2,419,56.7,Low
2026-01-04,04:00,Sunday,Cloudy,11.7,416,57.5,Low
2026-01-04,05:00,Sunday,Rain,14.0,221,58.1,Low
2026-01-04,06:00,Sunday,Clear,16.7,474,59.9,Low
2026-01-04,07:00,Sunday,Cloudy,19.7,1193,48.1,Medium
2026-01-04,08:00,Sunday,Clear,22.5,1178,47.4,Medium
2026-01-04,09:00,Sunday,Fog,23.8,854,53.2,Medium
2026-01-04,10:00,Sunday,Cloudy,23.1,645,57.2,Low
2026-01-04,11:00,Sunday,Cloudy,25.3,806,53.8,Medium
2026-01-04,12:00,Sunday,Clear,26.6,748,46.2,Low
2026-01-04,13:00,Sunday,Rain,31.2,438,54.7,Low
2026-01-04,14:00,Sunday,Clear,27.9,953,49.2,Medium
2026-01-04,15:00,Sunday,Rain,25.5,491,55.8,Low
2026-01-04,16:00,Sunday,Clear,25.3,678,51.2,Low
2026-01-04,17:00,Sunday,Clear,23.3,1396,50.5,Medium
2026-01-04,18:00,Sunday,Clear,17.4,1349,44.5,Medium
2026-01-04,19:00,Sunday,Clear,15.3,1398,43.5,Medium
2026-01-04,20:00,Sunday,Cloudy,14.0,1295,42.7,Medium
2026-01-04,21:00,Sunday,Rain,9.2,427,55.8,Low
2026-01-04,22:00,Sunday,Clear,10.3,533,61.5,Low
2026-01-04,23:00,Sunday,Cloudy,9.2,821,49.5,Medium
2026-01-05,00:00,Monday,Clear,7.8,546,50.2,Low
2026-01-05,01:00,Monday,Clear,9.9,100,57.4,Low
2026-01-05,02:00,Monday,Clear,5.5,454,57.2,Low
2026-01-05,03:00,Monday,Clear,12.9,201,63.5,Low
2026-01-05,04:00,Monday,Rain,12.9,257,58.3,Low
2026-01-05,05:00,Monday,Clear,13.2,382,59.9,Low
2026-01-05,06:00,Monday,Clear,17.8,391,56.9,Low
2026-01-05,07:00,Monday,Fog,21.2,1120,48.9,Medium
2026-01-05,08:00,Monday,Cloudy,22.4,1090,45.0,Medium
2026-01-05,09:00,Monday,Cloudy,26.1,1099,52.8,Medium
2026-01-05,10:00,Monday,Clear,27.1,1307,47.3,Medium
2026-01-05,11:00,Monday,Rain,30.8,1059,54.7,Medium
2026-01-05,12:00,Monday,Rain,26.0,709,57.4,Low
2026-01-05,13:00,Monday,Clear,29.4,1158,43.1,Medium
2026-01-05,14:00,Monday,Clear,28.4,979,50.8,Medium
2026-01-05,15:00,Monday,Cloudy,20.7,1194,43.9,Medium
2026-01-05,16:00,Monday,Rain,23.0,869,50.5,Medium
2026-01-05,17:00,Monday,Fog,17.3,1129,48.4,Medium
2026-01-05,18:00,Monday,Cloudy,17.8,1698,39.7,High
2026-01-05,19:00,Monday,Clear,16.4,1790,45.0,High
2026-01-05,20:00,Monday,Cloudy,12.1,1638,41.2,High
2026-01-05,21:00,Monday,Clear,9.8,683,50.1,Low
2026-01-05,22:00,Monday,Clear,9.5,357,56.1,Low
2026-01-05,23:00,Monday,Cloudy,8.4,560,55.0,Low
2026-01-06,00:00,Tuesday,Rain,9.7,206,55.7,Low
2026-01-06,01:00,Tuesday,Clear,9.5,358,49.5,Low
2026-01-06,02:00,Tuesday,Cloudy,8.1,100,61.6,Low
2026-01-06,03:00,Tuesday,Rain,9.0,761,55.7,Low
2026-01-06,04:00,Tuesday,Clear,16.0,100,56.6,Low
2026-01-06,05:00,Tuesday,Clear,13.6,303,53.7,Low
2026-01-06,06:00,Tuesday,Clear,18.4,536,57.8,Low
2026-01-06,07:00,Tuesday,Clear,21.9,1411,43.3,Medium
2026-01-06,08:00,Tuesday,Clear,22.1,1637,42.5,High
2026-01-06,09:00,Tuesday,Clear,23.7,1538,50.3,High
2026-01-06,10:00,Tuesday,Clear,26.7,1019,48.7,Medium
2026-01-06,11:00,Tuesday,Clear,27.2,902,49.5,Medium
2026-01-06,12:00,Tuesday,Clear,26.3,918,43.3,Medium
2026-01-06,13:00,Tuesday,Fog,29.0,764,49.6,Low
2026-01-06,14:00,Tuesday,Fog,27.1,841,49.4,Medium
2026-01-06,15:00,Tuesday,Cloudy,24.0,964,52.6,Medium
2026-01-06,16:00,Tuesday,Clear,24.9,885,49.5,Medium
2026-01-06,17:00,Tuesday,Clear,18.6,1555,44.6,High
2026-01-06,18:00,Tuesday,Clear,15.0,1919,37.4,High
2026-01-06,19:00,Tuesday,Clear,15.9,1702,43.1,High
2026-01-06,20:00,Tuesday,Clear,11.8,1914,44.2,High
2026-01-06,21:00,Tuesday,Clear,12.5,329,54.3,Low
2026-01-06,22:00,Tuesday,Clear,9.7,713,54.3,Low
2026-01-06,23:00,Tuesday,Rain,11.5,575,53.0,Low
2026-01-07,00:00,Wednesday,Clear,7.4,352,58.1,Low
2026-01-07,01:00,Wednesday,Clear,10.4,530,53.7,Low
2026-01-07,02:00,Wednesday,Clear,8.8,595,52.0,Low
2026-01-07,03:00,Wednesday,Clear,6.5,402,61.0,Low
2026-01-07,04:00,Wednesday,Clear,12.5,523,57.4,Low
2026-01-07,05:00,Wednesday,Cloudy,15.6,158,61.9,Low
2026-01-07,06:00,Wednesday,Clear,19.0,587,57.0,Low
2026-01-07,07:00,Wednesday,Cloudy,20.8,1261,44.8,Medium
2026-01-07,08:00,Wednesday,Clear,26.0,1460,44.4,Medium
2026-01-07,09:00,Wednesday,Rain,26.7,1009,47.0,Medium
2026-01-07,10:00,Wednesday,Cloudy,25.8,867,54.2,Medium
2026-01-07,11:00,Wednesday,Cloudy,29.6,1012,55.5,Medium
2026-01-07,12:00,Wednesday,Clear,25.9,923,51.3,Medium
2026-01-07,13:00,Wednesday,Clear,29.3,1098,48.9,Medium
2026-01-07,14:00,Wednesday,Clear,27.0,1396,45.4,Medium
2026-01-07,15:00,Wednesday,Rain,25.2,766,54.5,Low
2026-01-07,16:00,Wednesday,Cloudy,23.4,1016,50.6,Medium
